"Path 1","Path 2","Path 3","Path 4","Path 5","Path 6","URLs","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"","","","","add-constructor-function/","","1","https://animejs.com/documentation/scope/add-constructor-function/","text/html; charset=utf-8","200","OK","Indexable","","f0b836a92ba1fbceb8b8bd17a7384855","65","","https://animejs.com/documentation/scope/add-constructor-function/"
"","","","","register-method-function/","","1","https://animejs.com/documentation/scope/register-method-function/","text/html; charset=utf-8","200","OK","Indexable","","59f2bbea17229b46b91d1d9d4fd7a968","65","","https://animejs.com/documentation/scope/register-method-function/"
"","","","web-animation-api/","","","23","","","","","","","","","",""
"","","","","api-differences-with-native-waapi/","","6","","","","","","","","","",""
"","","","","","finished","1","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/finished","text/html","301","Moved Permanently","Non-Indexable","Redirected","","94","","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/finished"
"","","","","","easing","1","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/easing","text/html","301","Moved Permanently","Non-Indexable","Redirected","","92","","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/easing"
"","","","","","direction","1","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/direction","text/html","301","Moved Permanently","Non-Indexable","Redirected","","95","","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/direction"
"","","","","","iterations","1","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/iterations","text/html","301","Moved Permanently","Non-Indexable","Redirected","","96","","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/iterations"
"","","","","","easing/","1","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/easing/","text/html; charset=utf-8","200","OK","Indexable","","3fd71f5741345a7a52cd8ae14533aa05","93","","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/easing/"
"","","","","","finished/","1","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/finished/","text/html; charset=utf-8","200","OK","Indexable","","7eec34796269ec0b4e60ea6fb50aad5c","95","","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi/finished/"
"","","","","improvements-to-the-web-animation-api/","","11","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/","text/html; charset=utf-8","200","OK","Indexable","","6af743d75317731a1888d4f2cda0dc06","90","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/"
"","","","","","function-based-values","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/function-based-values","text/html","301","Moved Permanently","Non-Indexable","Redirected","","111","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/function-based-values"
"","","","","","individual-property-parameters","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/individual-property-parameters","text/html","301","Moved Permanently","Non-Indexable","Redirected","","120","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/individual-property-parameters"
"","","","","","multi-targets-animation","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/multi-targets-animation","text/html","301","Moved Permanently","Non-Indexable","Redirected","","113","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/multi-targets-animation"
"","","","","","default-units","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/default-units","text/html","301","Moved Permanently","Non-Indexable","Redirected","","103","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/default-units"
"","","","","","individual-css-transforms","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/individual-css-transforms","text/html","301","Moved Permanently","Non-Indexable","Redirected","","115","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/individual-css-transforms"
"","","","","","spring-and-custom-easings","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/spring-and-custom-easings","text/html","301","Moved Permanently","Non-Indexable","Redirected","","115","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/spring-and-custom-easings"
"","","","","","sensible-defaults","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/sensible-defaults","text/html","301","Moved Permanently","Non-Indexable","Redirected","","107","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/sensible-defaults"
"","","","","","multi-targets-animation/","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/multi-targets-animation/","text/html; charset=utf-8","200","OK","Indexable","","c548d4b7ed227f7652f251b115d70e4c","114","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/multi-targets-animation/"
"","","","","","individual-property-parameters/","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/individual-property-parameters/","text/html; charset=utf-8","200","OK","Indexable","","806487872753216e03780b1ab041051e","121","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/individual-property-parameters/"
"","","","","","function-based-values/","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/function-based-values/","text/html; charset=utf-8","200","OK","Indexable","","3cba15a988761d68aaf4a296d3f05157","112","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api/function-based-values/"
"","","","","when-to-use-waapi","","1","https://animejs.com/documentation/web-animation-api/when-to-use-waapi","text/html","301","Moved Permanently","Non-Indexable","Redirected","","69","","https://animejs.com/documentation/web-animation-api/when-to-use-waapi"
"","","","","improvements-to-the-web-animation-api","","1","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api","text/html","301","Moved Permanently","Non-Indexable","Redirected","","89","","https://animejs.com/documentation/web-animation-api/improvements-to-the-web-animation-api"
"","","","","hardware-accelerated-animations","","1","https://animejs.com/documentation/web-animation-api/hardware-accelerated-animations","text/html","301","Moved Permanently","Non-Indexable","Redirected","","83","","https://animejs.com/documentation/web-animation-api/hardware-accelerated-animations"
"","","","","waapi-convertease","","1","https://animejs.com/documentation/web-animation-api/waapi-convertease","text/html","301","Moved Permanently","Non-Indexable","Redirected","","69","","https://animejs.com/documentation/web-animation-api/waapi-convertease"
"","","","","api-differences-with-native-waapi","","1","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi","text/html","301","Moved Permanently","Non-Indexable","Redirected","","85","","https://animejs.com/documentation/web-animation-api/api-differences-with-native-waapi"
"","","","","when-to-use-waapi/","","1","https://animejs.com/documentation/web-animation-api/when-to-use-waapi/","text/html; charset=utf-8","200","OK","Indexable","","445919697a5075fdf028275fdec8d986","70","","https://animejs.com/documentation/web-animation-api/when-to-use-waapi/"
"","","","scroll/","","","37","","","","","","","","","",""
"","","","","scrollobserver-settings","","1","https://animejs.com/documentation/scroll/scrollobserver-settings","text/html","301","Moved Permanently","Non-Indexable","Redirected","","64","","https://animejs.com/documentation/scroll/scrollobserver-settings"
"","","","","scrollobserver-callbacks/","","10","https://animejs.com/documentation/scroll/scrollobserver-callbacks/","text/html; charset=utf-8","200","OK","Indexable","","8eacd1d584f38d4f2ad4e55aa577e219","66","","https://animejs.com/documentation/scroll/scrollobserver-callbacks/"
"","","","","","onleave","1","https://animejs.com/documentation/scroll/scrollobserver-callbacks/onleave","text/html","301","Moved Permanently","Non-Indexable","Redirected","","73","","https://animejs.com/documentation/scroll/scrollobserver-callbacks/onleave"
"","","","","","onleaveforward","1","https://animejs.com/documentation/scroll/scrollobserver-callbacks/onleaveforward","text/html","301","Moved Permanently","Non-Indexable","Redirected","","80","","https://animejs.com/documentation/scroll/scrollobserver-callbacks/onleaveforward"
"","","","","","onenterforward","1","https://animejs.com/documentation/scroll/scrollobserver-callbacks/onenterforward","text/html","301","Moved Permanently","Non-Indexable","Redirected","","80","","https://animejs.com/documentation/scroll/scrollobserver-callbacks/onenterforward"
